label,cav_score,llr
positive,5.7894,15.0886
positive,5.5481,14.1395
positive,5.1435,12.4314
positive,6.4112,17.2943
positive,4.2394,8.0863
positive,3.5419,15.8540
positive,-0.3735,-103.1609
positive,-0.3657,-102.7151
positive,-0.3953,-104.4074
positive,-0.2929,-98.5997
positive,4.1494,3.8850
positive,4.5875,7.3020
positive,4.4562,6.4711
positive,4.5401,7.0211
positive,4.0596,2.9579
positive,4.5381,7.0089
positive,4.4511,6.4352
positive,4.6480,7.6291
positive,5.3651,8.8341
positive,4.4569,6.4755
positive,5.6167,11.8819
positive,5.8623,12.1577
positive,5.4835,11.4266
positive,5.8625,12.1576
positive,5.9197,12.1166
positive,5.5965,11.8268
positive,5.8686,12.1551
positive,5.7801,12.1469
positive,5.3714,10.8761
positive,5.4865,11.4391
positive,-1.6201,-324.6056
positive,-1.6201,-324.6056
positive,5.0691,8.6336
positive,5.6176,11.8842
positive,7.4955,21.8728
positive,7.3218,20.8765
positive,7.5405,22.1327
positive,7.5228,22.0303
positive,8.0232,24.9767
positive,7.5570,22.2282
positive,7.5570,22.2282
positive,7.3100,20.8089
positive,2.4740,-1.8608
positive,7.5439,22.1523
positive,7.4750,21.7541
positive,5.4607,11.6319
positive,5.5423,11.8690
positive,5.6172,12.0725
positive,5.3043,11.1316
positive,5.3531,11.2943
positive,4.7158,8.7138
positive,4.1186,6.1719
positive,4.2353,6.3791
positive,4.2097,6.3408
positive,4.1047,6.1418
positive,4.2740,6.4296
positive,4.1485,6.2329
positive,4.4204,6.5380
positive,4.2428,6.3896
positive,3.0498,0.4280
positive,5.3044,6.7202
positive,4.6593,6.3338
positive,2.5324,-6.2463
positive,4.7957,6.5486
positive,4.2363,5.2139
positive,3.2596,0.0067
positive,4.7795,6.0609
positive,5.6864,7.9370
positive,5.2902,7.4374
positive,4.8229,6.2097
positive,4.5294,5.0857
positive,4.6746,5.6757
positive,5.1075,7.0399
positive,4.8384,8.8200
positive,5.0466,9.5636
positive,5.3562,10.1542
positive,5.2726,10.0554
positive,5.2830,10.0702
positive,4.7015,8.1788
positive,4.6176,7.7269
positive,4.9648,9.3045
positive,4.6944,8.1424
positive,4.5931,7.5859
positive,4.8825,9.0006
positive,4.5681,7.4385
positive,4.2105,4.8894
positive,4.8594,8.9076
positive,4.4844,6.9157
positive,5.2828,10.0699
positive,4.3264,9.0861
positive,4.5691,10.4171
positive,4.1286,7.9510
positive,4.7494,11.3618
positive,4.9006,12.1248
positive,5.1074,13.1252
positive,5.1258,13.2120
positive,4.4786,9.9290
positive,6.6727,19.0891
positive,5.2832,13.9371
positive,4.6899,11.0542
positive,4.7453,11.3410
positive,5.4004,14.4580
positive,4.3526,9.2335
positive,6.2355,17.7096
positive,4.3818,9.3963
positive,8.4350,27.8080
positive,7.5074,21.7820
positive,7.4491,21.4158
positive,7.3809,20.9889
positive,-0.0838,-13.6118
positive,10.3636,41.5224
positive,5.9733,22.8056
positive,4.2140,11.6325
positive,4.4169,12.8022
positive,0.7346,-3.6032
positive,5.6390,20.5034
positive,5.0604,16.7171
positive,4.5598,13.6444
positive,7.0468,30.7685
positive,6.8989,29.6202
positive,1.4757,-1.4943
positive,2.7956,2.8714
positive,1.1745,-3.0849
positive,2.9895,3.1556
positive,1.1569,-3.1849
positive,1.2274,-2.7897
positive,2.7695,2.8262
positive,0.2868,-9.0564
positive,1.4873,-1.4378
positive,0.3691,-8.4226
positive,2.3620,1.9050
positive,2.7022,2.7019
positive,2.7386,2.7704
positive,4.5504,4.8619
positive,3.6951,2.9544
positive,4.3139,4.4077
positive,0.7420,-9.2699
positive,-0.8742,-19.6627
positive,3.5793,2.6399
positive,3.7493,3.0971
positive,4.1584,4.0787
positive,-0.9438,-20.1685
positive,-0.0343,-13.9345
positive,5.2686,5.8969
positive,4.9365,5.4826
positive,0.5577,-10.3225
positive,4.0062,3.7332
positive,3.7031,2.9755
positive,0.8199,-8.8351
positive,4.0422,3.8170
positive,3.6239,2.7625
positive,-0.2844,-21.3187
positive,-0.3579,-21.9380
positive,-0.2848,-21.3222
positive,-0.3362,-21.7552
positive,5.5971,16.3123
positive,-0.1950,-20.5696
positive,4.0621,8.7707
positive,5.2508,14.7516
positive,3.7557,7.0726
positive,5.2471,14.7342
positive,5.1866,14.4531
positive,5.4582,15.6962
positive,5.4828,15.8062
positive,5.1566,14.3128
positive,4.7845,12.5203
positive,4.9626,13.3901
positive,4.8663,12.9225
positive,4.9621,13.3880
positive,5.5535,16.1204
positive,5.3486,15.2005
positive,4.8068,12.6306
positive,5.1276,14.1766
positive,4.9606,13.3803
positive,4.5362,11.2720
positive,5.1595,14.3264
positive,2.1099,-3.1465
positive,-0.1950,-20.5696
positive,5.3965,15.4183
positive,5.3143,15.0438
positive,3.3951,4.9918
positive,-0.3522,-21.8899
positive,5.2234,14.6247
positive,5.6208,16.4159
positive,0.7667,-13.4987
positive,3.0822,4.6867
positive,0.9285,-11.9068
positive,3.1050,4.8166
positive,3.6411,7.5954
positive,4.2506,10.1108
positive,3.7360,8.0322
positive,4.0729,9.4482
positive,2.8943,3.5798
positive,3.1188,4.8950
positive,3.2608,5.6789
positive,3.1156,4.8768
positive,3.7665,8.1687
positive,6.1615,11.4612
positive,7.2327,14.2178
positive,6.1232,11.2928
positive,5.9566,10.5033
positive,6.2027,11.6370
positive,6.6165,13.0935
positive,7.0638,14.0340
positive,6.7400,13.4190
positive,-0.3709,-87.1053
positive,7.1088,14.0921
positive,5.4796,7.7390
positive,5.3360,6.7595
positive,5.4299,7.4078
positive,6.7425,13.4252
positive,6.7276,13.3886
positive,6.8552,13.6774
positive,6.0452,10.9347
positive,6.0573,10.9915
positive,13.0155,49.0039
positive,13.0727,49.4308
positive,13.7783,54.3542
positive,13.1750,50.1836
positive,13.0080,48.9475
positive,13.3176,51.2110
positive,13.7101,53.9060
positive,13.2316,50.5943
positive,13.3655,51.5506
positive,13.1585,50.0628
positive,12.8538,47.7754
positive,13.2794,50.9386
positive,13.0977,49.6159
positive,13.6792,53.7011
positive,12.9062,48.1771
positive,13.3373,51.3506
positive,8.5973,36.9658
positive,8.5735,36.7264
positive,8.6168,37.1381
positive,8.7548,37.7436
positive,8.5847,36.8427
positive,8.7790,37.7388
positive,8.7404,37.7307
positive,8.5485,36.4401
positive,8.7507,37.7411
positive,8.7153,37.6803
positive,8.7467,37.7378
positive,8.5852,36.8477
positive,8.5838,36.8343
positive,6.3529,22.2499
positive,6.1886,21.1456
positive,5.8471,18.8437
positive,6.4573,22.9500
positive,6.3750,22.3980
positive,5.9340,19.4301
positive,6.5720,14.0091
positive,6.6662,14.1236
positive,6.5803,14.0212
positive,6.4852,13.8584
positive,6.4948,13.8772
positive,6.5415,13.9611
positive,6.4249,13.7280
positive,6.4792,13.8464
positive,3.1500,6.0344
positive,1.2174,-12.0156
positive,2.8031,4.7973
positive,2.8377,4.9597
positive,2.7804,4.6854
positive,1.2437,-8.2049
positive,4.9325,15.6311
positive,3.8788,9.6828
positive,5.0753,16.3844
positive,4.8454,15.1658
positive,3.7356,8.8213
positive,9.2384,32.2741
positive,8.7465,29.0688
positive,7.7981,23.1215
positive,7.8599,23.4995
positive,7.2482,19.8126
positive,7.4108,20.7803
positive,10.7462,42.6096
positive,4.0890,6.7212
positive,3.3450,4.6659
positive,3.8374,6.2625
positive,3.9927,6.5742
positive,3.0070,3.0352
positive,3.7123,5.9445
positive,8.2679,38.0093
positive,6.7207,24.8205
positive,6.6856,24.5481
positive,5.9704,19.2624
positive,6.5527,23.5281
positive,5.9189,7.1891
positive,9.3741,21.8322
positive,5.8723,7.0043
positive,6.1460,8.0939
positive,5.9084,7.1471
positive,10.5467,27.2279
positive,9.3715,21.8205
positive,10.5604,27.2921
positive,9.2150,21.1168
positive,9.6893,23.2614
positive,9.7564,23.5675
positive,9.6075,22.8891
positive,9.3900,21.9039
positive,9.3564,21.7522
positive,9.4611,22.2249
positive,9.2317,21.1917
positive,9.1750,20.9373
positive,9.3666,21.7982
positive,10.4418,26.7362
positive,9.3713,21.8194
positive,5.8363,6.8617
positive,4.1175,0.2986
positive,5.9694,7.3895
positive,5.9216,7.1998
positive,5.8399,6.8761
positive,3.0354,1.1532
positive,3.9989,5.3037
positive,3.9653,5.1642
positive,3.9638,5.1580
positive,3.5606,3.4532
positive,3.1780,1.7867
positive,2.9107,2.2162
positive,2.2290,-1.3409
positive,1.2574,-7.9858
positive,3.8838,5.7150
positive,3.5690,4.7862
positive,3.5690,4.7862
positive,3.5690,4.7862
positive,4.1119,6.2665
positive,3.8174,5.5351
positive,3.8987,5.7542
positive,1.0548,-9.6046
positive,6.5707,44.1027
positive,6.5812,44.1943
positive,6.2415,40.1747
positive,6.2368,40.1030
positive,0.6368,-336.6904
positive,6.5199,43.6283
positive,6.2430,40.1962
positive,6.1650,38.9731
positive,6.6066,44.4084
positive,6.3243,41.3531
positive,5.1372,10.4920
positive,5.3761,11.4337
positive,5.2818,11.0653
positive,5.2984,11.1304
positive,5.3118,11.1830
positive,5.2923,11.1066
positive,5.4430,11.6928
positive,5.4219,11.6115
positive,5.2050,10.7621
positive,5.2081,10.7742
positive,5.2081,10.7742
positive,5.2765,11.0442
positive,5.2765,11.0442
positive,5.2846,11.0761
positive,5.1375,10.4935
positive,5.3638,11.3861
positive,5.7494,12.8531
positive,5.5581,12.1338
positive,5.2974,11.1264
positive,5.2974,11.1264
positive,5.3295,11.2523
positive,5.2438,10.9155
positive,5.0978,10.3344
positive,5.3006,11.1391
positive,5.4359,11.6653
positive,5.0071,9.9681
positive,5.4530,11.7315
positive,4.7641,8.9691
positive,4.6266,8.3917
positive,5.2757,11.0412
positive,5.1424,10.5128
positive,5.1231,10.4357
positive,5.2314,10.8665
positive,4.7327,8.8377
positive,5.2799,11.0576
positive,5.4066,11.5521
positive,4.7249,8.8052
positive,5.0263,10.0462
positive,0.3601,-13.8324
positive,4.9745,9.8355
positive,4.6257,8.3876
positive,6.0424,15.8122
positive,6.7786,20.6016
positive,7.3729,24.1842
positive,4.0213,0.6626
positive,6.8370,20.9646
positive,6.5846,19.3769
positive,6.9414,21.6084
positive,5.9728,15.3387
positive,5.8661,14.6069
positive,7.0308,22.1525
positive,5.6474,13.0821
positive,5.9049,14.8742
positive,5.7350,13.6972
positive,0.4150,-25.9519
positive,5.0387,11.8329
positive,5.0420,11.8372
positive,1.1249,-16.0272
positive,5.0885,11.8945
positive,3.4322,5.8977
positive,3.9539,8.6648
positive,3.4294,5.8803
positive,3.5160,6.3967
positive,3.4503,6.0071
positive,2.6065,-0.1333
positive,4.8401,11.5141
positive,3.9366,8.5860
positive,3.5509,6.5979
positive,5.2116,12.0152
positive,4.8230,11.4811
positive,1.0690,-16.7547
positive,3.2822,4.9524
positive,3.2975,5.0519
positive,2.6906,0.5734
positive,3.6421,7.1079
positive,3.7127,7.4860
positive,3.6907,7.3695
positive,4.2816,9.9900
positive,4.2873,10.0101
positive,4.3496,10.2249
positive,3.4376,5.9305
positive,3.6541,7.1734
positive,5.0637,11.8648
positive,4.9857,10.0078
positive,0.4196,-20.1735
positive,4.0848,6.2003
positive,4.7628,9.1642
positive,6.0818,13.2169
positive,5.9256,12.8551
positive,5.9527,12.9202
positive,5.4733,11.6284
positive,5.8953,12.7814
positive,3.7568,4.5523
positive,4.1645,6.5797
positive,3.2181,1.5411
positive,4.2202,6.8403
positive,5.4563,11.5773
positive,4.1173,6.3564
positive,5.4148,11.4505
positive,6.1918,13.4526
positive,5.9551,12.9259
positive,5.8537,12.6779
positive,4.4672,7.9457
positive,6.1532,12.2642
positive,6.1735,12.4100
positive,6.0470,11.3185
positive,6.1903,12.5227
positive,6.3250,13.1501
positive,5.9900,10.6855
positive,5.8389,8.5847
positive,5.8678,9.0341
positive,5.6945,6.0025
positive,6.1754,12.4234
positive,5.1388,13.1105
positive,5.1356,13.0925
positive,4.3913,6.5563
positive,5.3502,14.1019
positive,0.9458,-85.1038
positive,5.2188,13.5303
positive,5.3491,14.0978
positive,4.5642,25.3606
positive,4.7333,27.5516
positive,1.6925,-13.1337
positive,2.4123,-3.2549
positive,4.6293,26.2049
positive,2.3607,-3.9572
positive,2.3307,-4.3673
positive,2.3283,-4.3989
positive,2.3721,-3.8028
positive,3.5141,7.1152
positive,3.4788,6.9808
positive,3.5094,7.0976
positive,3.3503,6.4925
positive,3.3745,6.5842
positive,3.5099,7.0993
positive,1.4180,-0.4729
positive,0.6516,-3.0395
positive,3.4653,6.9291
positive,5.3233,11.7928
positive,5.7785,11.9205
positive,5.0411,10.9816
positive,5.2914,11.7292
positive,2.1712,-29.0960
positive,5.4318,11.9557
positive,5.0705,9.0027
positive,5.0541,8.9570
positive,5.2633,9.5334
positive,1.9490,-0.9981
positive,1.9070,-1.1507
positive,4.6626,7.8465
positive,6.8726,10.9700
positive,6.9785,11.1893
positive,4.6093,5.8932
positive,6.7661,10.7479
positive,6.7040,10.6176
positive,6.6581,10.5209
positive,4.5723,5.8040
positive,6.7391,10.6913
positive,4.1722,6.5476
positive,6.1011,14.6283
positive,5.6309,13.2262
positive,5.6562,13.3111
positive,5.2121,11.6693
positive,5.3198,12.0974
positive,6.0389,14.4637
positive,5.3994,12.4014
positive,5.4003,12.4046
positive,5.4026,12.4134
positive,4.6732,9.2387
positive,6.2279,14.9436
positive,4.4007,7.8268
positive,5.3068,12.0467
positive,6.1690,14.8004
positive,5.3332,12.1492
positive,4.5925,8.8335
positive,3.7892,4.2106
positive,5.3656,12.2736
positive,5.3967,12.3913
positive,5.4809,12.7020
positive,5.8202,13.8346
positive,5.2706,11.9044
positive,5.3187,12.0930
positive,4.1724,6.5488
positive,5.4180,12.4710
positive,5.9582,14.2407
positive,7.9340,24.5470
positive,9.4159,36.8908
positive,9.5192,37.7777
positive,12.5869,65.6751
positive,9.1916,34.9773
positive,9.4355,37.0588
positive,13.0805,70.4457
positive,13.8049,77.5903
positive,9.2834,35.7590
positive,11.4999,55.4444
positive,4.0304,6.0176
positive,-0.0798,-3.0697
positive,2.9701,3.4393
positive,4.0402,6.0422
positive,2.4347,2.1992
positive,3.5284,0.3251
positive,5.6457,3.6964
positive,4.4651,3.3800
positive,4.6388,3.6739
positive,4.6442,3.6816
positive,-0.2316,-36.9043
positive,1.8722,0.7272
positive,0.6123,-5.3946
positive,3.2104,4.7542
positive,3.2241,4.7823
positive,-0.2011,-10.5477
positive,3.6977,5.5872
positive,3.2210,4.7759
positive,3.0077,4.3080
positive,2.9300,4.1216
positive,-0.3127,-11.3287
positive,2.6870,3.4830
positive,3.0030,4.2972
positive,3.0854,4.4861
positive,0.9811,-0.8038
positive,1.7703,0.4703
positive,1.8558,0.6146
positive,-0.1170,-2.4007
positive,3.7713,4.1750
positive,3.2990,3.2392
positive,5.9995,1.3223
positive,8.4503,32.0899
positive,8.3724,31.4293
positive,8.3012,30.8083
positive,8.6523,33.7040
positive,8.3411,31.1586
positive,6.6252,11.1408
positive,2.2035,2.3480
positive,1.8156,0.9579
positive,2.9046,4.5892
positive,2.7697,4.1851
positive,0.2135,-5.9196
positive,3.0180,4.9187
positive,4.1239,7.6531
positive,-0.0906,-7.4314
positive,2.6965,3.9606
positive,2.0054,1.6513
positive,4.7505,9.4910
positive,3.9701,5.4859
positive,3.8585,4.8213
positive,4.6530,9.0523
positive,5.1842,11.2278
positive,4.8444,9.8966
positive,4.2654,7.1344
positive,4.1107,6.2912
positive,3.9251,5.2204
positive,4.5869,8.7451
positive,4.7878,9.6539
positive,4.3611,7.6341
positive,4.3464,7.5583
positive,4.6997,9.2648
positive,4.6948,9.2424
positive,4.2968,7.3000
positive,3.9264,5.2286
positive,4.5810,14.3912
positive,5.0018,16.7418
positive,2.9229,3.8224
positive,4.8342,15.8215
positive,3.8428,9.9433
positive,3.8903,10.2419
positive,4.6642,14.8667
positive,4.7728,15.4792
positive,5.9043,18.5713
positive,4.1176,10.1155
positive,4.0619,9.8695
positive,3.7828,8.6530
positive,3.7576,8.5444
positive,3.8056,8.7515
positive,4.0038,9.6143
positive,0.8116,-13.4308
positive,4.7002,11.0196
positive,3.6868,6.5408
positive,5.4159,13.3785
positive,4.2914,9.3735
positive,4.0996,-6.8578
positive,7.6380,34.7187
positive,7.5771,34.1230
positive,7.6517,34.8519
positive,7.6517,34.8519
positive,7.6383,34.7215
positive,4.1560,-6.0839
positive,7.8405,36.6701
positive,8.6073,43.6381
positive,7.5500,33.8562
positive,4.1080,5.5346
positive,3.9296,4.9817
positive,5.0047,8.3080
positive,3.7171,4.3226
positive,4.6299,7.1499
positive,4.7820,7.6202
positive,4.8225,7.7451
positive,4.8463,7.8189
positive,4.8811,7.9263
positive,4.8337,7.7798
positive,4.6980,7.3604
positive,4.4647,6.6389
positive,4.4438,6.5740
positive,4.7820,7.6201
positive,4.7502,7.5218
positive,3.7823,4.5249
positive,5.7623,8.8371
positive,5.5912,8.5842
positive,5.2032,7.6127
positive,5.4098,8.1988
positive,6.0550,9.0205
positive,6.5858,8.5505
positive,5.3615,8.0758
positive,5.3327,7.9983
positive,5.6105,8.6182
positive,5.3776,8.1177
positive,5.5650,8.5360
positive,5.0952,7.2438
positive,-0.7157,-23.0970
positive,6.5547,17.1489
positive,-2.7916,-35.4530
positive,-3.1956,-37.9025
positive,-2.5004,-33.6969
positive,-2.5456,-33.9690
positive,-2.3966,-33.0722
positive,-2.0635,-31.0758
positive,-1.2785,-26.4088
positive,-0.7980,-23.5792
positive,6.5268,17.0035
positive,4.2019,3.9221
positive,3.5812,2.8382
positive,4.2212,3.9567
positive,1.7522,-0.0154
